url,total_count,categories
https://www.booking.com/searchresults.html?label=gen173nr-1FCAEoggI46AdIM1gEaEKIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsOfjIMGwAIB0gIkODZjYWU3ODctYTk0ZC00YjVlLTlkZTAtNWI0NTQ5YWY4Mzc32AIF4AIB&sid=5cd56872cba8c14bc812124fc190fd06&sb=1&sb_lp=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.html%3Flabel%3Dgen173nr-1FCAEoggI46AdIM1gEaEKIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsOfjIMGwAIB0gIkODZjYWU3ODctYTk0ZC00YjVlLTlkZTAtNWI0NTQ5YWY4Mzc32AIF4AIB%3Bsid%3D5cd56872cba8c14bc812124fc190fd06%3Bsb_price_type%3Dtotal%26%3B&ss=P%C3%A4rnu%2C+P%C3%A4rnumaa%2C+Estonia&is_ski_area=&checkin_year=2021&checkin_month=4&checkin_monthday=14&checkout_year=2021&checkout_month=4&checkout_monthday=16&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1&ss_raw=parnu&ac_position=0&ac_langcode=en&ac_click_type=b&dest_id=-2624430&dest_type=city&place_id_lat=58.385628&place_id_lon=24.50338&search_pageview_id=723952e11b35023a&search_selected=true&search_pageview_id=723952e11b35023a&ac_suggestion_list_length=5&ac_suggestion_theme_list_length=0,17,"{""misleading"":16,""Force Cookie"":1}"
https://www.booking.com/searchresults.html?label=gen173nr-1FCAEoggI46AdIM1gEaEKIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsOfjIMGwAIB0gIkODZjYWU3ODctYTk0ZC00YjVlLTlkZTAtNWI0NTQ5YWY4Mzc32AIF4AIB&sid=5cd56872cba8c14bc812124fc190fd06&sb=1&sb_lp=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.html%3Flabel%3Dgen173nr-1FCAEoggI46AdIM1gEaEKIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AsOfjIMGwAIB0gIkODZjYWU3ODctYTk0ZC00YjVlLTlkZTAtNWI0NTQ5YWY4Mzc32AIF4AIB%3Bsid%3D5cd56872cba8c14bc812124fc190fd06%3Bsb_price_type%3Dtotal%26%3B&ss=P%C3%A4rnu%2C+P%C3%A4rnumaa%2C+Estonia&is_ski_area=&checkin_year=2021&checkin_month=4&checkin_monthday=14&checkout_year=2021&checkout_month=4&checkout_monthday=16&group_adults=2&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1&ss_raw=parnu&ac_position=0&ac_langcode=en&ac_click_type=b&dest_id=-2624430&dest_type=city&place_id_lat=58.385628&place_id_lon=24.50338&search_pageview_id=723952e11b35023a&search_selected=true&search_pageview_id=723952e11b35023a&ac_suggestion_list_length=5&ac_suggestion_theme_list_length=0,16,"{""misleading"":16}"
https://evaly.com.bd/campaign,1,"{""urgency"":1}"
https://evaly.com.bd/campaign,1,"{""urgency"":1}"
https://www.6pm.com/champion-classic-graphic-tee?oosRedirected=true,0,{}
https://www.orthofeet.com/,0,{}
https://www.pacificcoast.com/luxury-pillow-protector-queen/9996.html,2,"{""Force Cookie"":2}"
https://kidz.diligencecoder.com/elementor-1083/,1,"{""Tricky Question"":1}"
https://www.telegraph.co.uk/finance/personalfinance/7722464/Web-discounts-Online-shoppers-need-to.html,3,"{""Force Action"":2,""Force Cookie"":1}"
https://www.booking.com/searchresults.html?label=gen173nr-1FCAEoggI46AdIM1gEaEKIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av2vjIMGwAIB0gIkY2QwZmVhMGMtMjAzZC00MzM0LTkxNzItOGVhNTc0YWQ4N2Y02AIF4AIB&sid=0b7dc39daf150819aa7150ed91222f34&sb=1&sb_lp=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.html%3Flabel%3Dgen173nr-1FCAEoggI46AdIM1gEaEKIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av2vjIMGwAIB0gIkY2QwZmVhMGMtMjAzZC00MzM0LTkxNzItOGVhNTc0YWQ4N2Y02AIF4AIB%3Bsid%3D0b7dc39daf150819aa7150ed91222f34%3Bsb_price_type%3Dtotal%26%3B&ss=P%C3%A4rnu&is_ski_area=0&ssne=P%C3%A4rnu&ssne_untouched=P%C3%A4rnu&dest_id=-2624430&dest_type=city&checkin_year=2021&checkin_month=4&checkin_monthday=22&checkout_year=2021&checkout_month=4&checkout_monthday=25&group_adults=1&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1,18,"{""misleading"":18}"
https://www.therealreal.com/,1,"{""Force Enrollment"":1}"
https://www.daraz.com.bd/#,5,"{""urgency"":4,""Force Cookie"":1}"
https://www.booking.com/searchresults.html?label=gen173nr-1FCAEoggI46AdIM1gEaEKIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av2vjIMGwAIB0gIkY2QwZmVhMGMtMjAzZC00MzM0LTkxNzItOGVhNTc0YWQ4N2Y02AIF4AIB&sid=0b7dc39daf150819aa7150ed91222f34&sb=1&sb_lp=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.html%3Flabel%3Dgen173nr-1FCAEoggI46AdIM1gEaEKIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Av2vjIMGwAIB0gIkY2QwZmVhMGMtMjAzZC00MzM0LTkxNzItOGVhNTc0YWQ4N2Y02AIF4AIB%3Bsid%3D0b7dc39daf150819aa7150ed91222f34%3Bsb_price_type%3Dtotal%26%3B&ss=P%C3%A4rnu&is_ski_area=0&ssne=P%C3%A4rnu&ssne_untouched=P%C3%A4rnu&dest_id=-2624430&dest_type=city&checkin_year=2021&checkin_month=4&checkin_monthday=22&checkout_year=2021&checkout_month=4&checkout_monthday=25&group_adults=1&group_children=0&no_rooms=1&b_h4u_keep_filters=&from_sf=1,19,"{""misleading"":19}"
https://chordify.net/chords/jaimu-long-drive-o-ya-imu-lam-dra-ibo-ashraful-pavel-mouna-bangla-new-song-2020-dhruba-music-station,0,{}
https://community.st.com/s/question/0D50X00009XkY70/understanding-systickhandler,1,"{""Force Cookie"":1}"
https://developer.arm.com/documentation/ka002280/latest?fbclid=IwAR1--_4hIDlsjAgpk0R1EDCEP9RPo6OQx0widl4Jan-5SeUEnKjvYsqj7mM,1,"{""Force Cookie"":1}"
https://www.daraz.com.bd/#hp-flash-sale,5,"{""urgency"":4,""Force Cookie"":1}"
https://www.daraz.com.bd/#,4,"{""urgency"":4}"
https://www.daraz.com.bd/#,4,"{""urgency"":4}"
https://www.daraz.com.bd/#,4,"{""urgency"":4}"
https://www.daraz.com.bd/#,4,"{""urgency"":4}"
https://www.daraz.com.bd/#,5,"{""urgency"":4,""Force Cookie"":1}"
https://www.daraz.com.bd/#,5,"{""urgency"":4,""Force Cookie"":1}"
https://www.daraz.com.bd/#,5,"{""urgency"":4,""Force Cookie"":1}"
https://www.daraz.com.bd/#,5,"{""urgency"":4,""Force Cookie"":1}"
https://www.daraz.com.bd/#hp-flash-sale,5,"{""urgency"":4,""Force Cookie"":1}"
https://powerlisting.fandom.com/wiki/Web_Generation,1,"{""Force Cookie"":1}"
https://www.booking.com/searchresults.html?label=gen173nr-1DCAEoggI46AdIM1gEaEKIAQKYATG4AQnIARHYAQPoAQH4AQKIAgGoAgO4AoDC0IEGwAIB0gIkMmI2NTg5MmQtNTg2Yi00ZmRmLWI3ZjAtZGU3MzI3NTU4Yjkx2AIE4AIB&sid=4747494712734951baf0c90b74aa01ff&sb=1&sb_lp=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.html%3Flabel%3Dgen173nr-1DCAEoggI46AdIM1gEaEKIAQKYATG4AQnIARHYAQPoAQH4AQKIAgGoAgO4AoDC0IEGwAIB0gIkMmI2NTg5MmQtNTg2Yi00ZmRmLWI3ZjAtZGU3MzI3NTU4Yjkx2AIE4AIB%3Bsid%3D4747494712734951baf0c90b74aa01ff%3Bsb_price_type%3Dtotal%26%3B&ss=Cox%27s+Bazar%2C+Bangladesh&is_ski_area=&checkin_year=2021&checkin_month=4&checkin_monthday=27&checkout_year=2021&checkout_month=4&checkout_monthday=29&group_adults=1&group_children=0&no_rooms=1&b_h4u_keep_filters=&is_popular_nearby=1&from_sf=1&dest_id=211349&dest_type=city&search_pageview_id=c84b8dce06a60163&search_selected=true,8,"{""misleading"":8}"
https://www.booking.com/searchresults.html?label=gen173nr-1DCAEoggI46AdIM1gEaEKIAQKYATG4AQnIARHYAQPoAQH4AQKIAgGoAgO4AoDC0IEGwAIB0gIkMmI2NTg5MmQtNTg2Yi00ZmRmLWI3ZjAtZGU3MzI3NTU4Yjkx2AIE4AIB&sid=4747494712734951baf0c90b74aa01ff&sb=1&sb_lp=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.html%3Flabel%3Dgen173nr-1DCAEoggI46AdIM1gEaEKIAQKYATG4AQnIARHYAQPoAQH4AQKIAgGoAgO4AoDC0IEGwAIB0gIkMmI2NTg5MmQtNTg2Yi00ZmRmLWI3ZjAtZGU3MzI3NTU4Yjkx2AIE4AIB%3Bsid%3D4747494712734951baf0c90b74aa01ff%3Bsb_price_type%3Dtotal%26%3B&ss=Cox%27s+Bazar%2C+Bangladesh&is_ski_area=&checkin_year=2021&checkin_month=4&checkin_monthday=27&checkout_year=2021&checkout_month=4&checkout_monthday=29&group_adults=1&group_children=0&no_rooms=1&b_h4u_keep_filters=&is_popular_nearby=1&from_sf=1&dest_id=211349&dest_type=city&search_pageview_id=c84b8dce06a60163&search_selected=true,8,"{""misleading"":8}"
https://www.booking.com/searchresults.html?label=gen173nr-1DCAEoggI46AdIM1gEaEKIAQKYATG4AQnIARHYAQPoAQH4AQKIAgGoAgO4AoDC0IEGwAIB0gIkMmI2NTg5MmQtNTg2Yi00ZmRmLWI3ZjAtZGU3MzI3NTU4Yjkx2AIE4AIB&sid=4747494712734951baf0c90b74aa01ff&sb=1&sb_lp=1&src=index&src_elem=sb&error_url=https%3A%2F%2Fwww.booking.com%2Findex.html%3Flabel%3Dgen173nr-1DCAEoggI46AdIM1gEaEKIAQKYATG4AQnIARHYAQPoAQH4AQKIAgGoAgO4AoDC0IEGwAIB0gIkMmI2NTg5MmQtNTg2Yi00ZmRmLWI3ZjAtZGU3MzI3NTU4Yjkx2AIE4AIB%3Bsid%3D4747494712734951baf0c90b74aa01ff%3Bsb_price_type%3Dtotal%26%3B&ss=Cox%27s+Bazar%2C+Bangladesh&is_ski_area=&checkin_year=2021&checkin_month=4&checkin_monthday=27&checkout_year=2021&checkout_month=4&checkout_monthday=29&group_adults=1&group_children=0&no_rooms=1&b_h4u_keep_filters=&is_popular_nearby=1&from_sf=1&dest_id=211349&dest_type=city&search_pageview_id=c84b8dce06a60163&search_selected=true,8,"{""misleading"":8}"
